activity_id,assay_id,assay_chembl_id,tid,target_chembl_id,standard_type,standard_relation,standard_value,standard_units,pchembl_value,assay_type,assay_type_description,assay_category,assay_organism,assay_tax_id,assay_strain,assay_tissue,assay_cell_type,assay_subcellular_fraction,bao_format,bao_label,variant_id,assay_test_type,assay_description,cell_id,tissue_id,curated_by,aidx,confidence_score,confidence_score_description,molregno,compound_chembl_id,pref_name,canonical_smiles,assay_metadata_hash,canonical_smiles_by_Std,molecular_weight,num_atoms,pStandard_value,vs_activity_comment,vs_activity,vs_threshold,lo_activity_comment,lo_activity,lo_threshold,stereoSiblings,effect,assay,effect_description,assay_keywords_description
32316,148100,CHEMBL751582,129,CHEMBL233,Ki,=,10620.0,nM,4.97,B,Binding,,,,,,CHO,,BAO_0000219,cell-based format,,,Binding affinity at human opioid receptor mu 1 was determined by using [3H]diprenorphine radioligand in CHO cell membranes at a concentration of 0.12 nM,449.0,,Expert,CLD0,8,Homologous single protein target assigned,176210,CHEMBL108417,,CC(c1ccccc1)N1CC[C@H]1[C@@H](N)c1cccc(Cl)c1,901e030c965234752af5ce2b09ef2dea,CC(c1ccccc1)N1CC[C@H]1[C@@H](N)c1cccc(Cl)c1,300.83,21,4.97387548325455,weak inactive,0.0,5.0,inactive,0.0,6.3,False,,,,
32321,148100,CHEMBL751582,129,CHEMBL233,Ki,=,1591.0,nM,5.8,B,Binding,,,,,,CHO,,BAO_0000219,cell-based format,,,Binding affinity at human opioid receptor mu 1 was determined by using [3H]diprenorphine radioligand in CHO cell membranes at a concentration of 0.12 nM,449.0,,Expert,CLD0,8,Homologous single protein target assigned,176943,CHEMBL322717,,CCCCCCC(c1ccccc1)N1CC[C@H]1[C@@H](N)c1cccc(Cl)c1,901e030c965234752af5ce2b09ef2dea,CCCCCCC(c1ccccc1)N1CC[C@H]1[C@@H](N)c1cccc(Cl)c1,370.97,26,5.798329820353419,active,1.0,5.0,inactive,0.0,6.3,True,,,,
34724,148100,CHEMBL751582,129,CHEMBL233,Ki,=,801.0,nM,6.1,B,Binding,,,,,,CHO,,BAO_0000219,cell-based format,,,Binding affinity at human opioid receptor mu 1 was determined by using [3H]diprenorphine radioligand in CHO cell membranes at a concentration of 0.12 nM,449.0,,Expert,CLD0,8,Homologous single protein target assigned,176211,CHEMBL110138,,Cc1ccc(C(c2ccc(C)cc2)N2CC[C@H]2[C@H](N)c2cccc(Cl)c2)cc1,901e030c965234752af5ce2b09ef2dea,Cc1ccc(C(c2ccc(C)cc2)N2CC[C@H]2[C@H](N)c2cccc(Cl)c2)cc1,390.96,28,6.096367483915762,active,1.0,5.0,inactive,0.0,6.3,True,,,,
34729,148100,CHEMBL751582,129,CHEMBL233,Ki,=,1599.0,nM,5.8,B,Binding,,,,,,CHO,,BAO_0000219,cell-based format,,,Binding affinity at human opioid receptor mu 1 was determined by using [3H]diprenorphine radioligand in CHO cell membranes at a concentration of 0.12 nM,449.0,,Expert,CLD0,8,Homologous single protein target assigned,176204,CHEMBL110379,,CCCCC(c1cccc(F)c1)N1CC[C@H]1[C@H](N)c1cccc(Cl)c1,901e030c965234752af5ce2b09ef2dea,CCCCC(c1cccc(F)c1)N1CC[C@H]1[C@H](N)c1cccc(Cl)c1,360.9,25,5.796151536253765,active,1.0,5.0,inactive,0.0,6.3,False,,,,
35960,148100,CHEMBL751582,129,CHEMBL233,Ki,=,865.0,nM,6.06,B,Binding,,,,,,CHO,,BAO_0000219,cell-based format,,,Binding affinity at human opioid receptor mu 1 was determined by using [3H]diprenorphine radioligand in CHO cell membranes at a concentration of 0.12 nM,449.0,,Expert,CLD0,8,Homologous single protein target assigned,176508,CHEMBL448155,,COc1ccc([C@H](N)[C@@H]2CCN2C(c2ccccc2)c2ccccc2)cc1,901e030c965234752af5ce2b09ef2dea,COc1ccc([C@H](N)[C@@H]2CCN2C(c2ccccc2)c2ccccc2)cc1,358.49,27,6.062983892535185,active,1.0,5.0,inactive,0.0,6.3,True,,,,
35965,148100,CHEMBL751582,129,CHEMBL233,Ki,=,2176.0,nM,5.66,B,Binding,,,,,,CHO,,BAO_0000219,cell-based format,,,Binding affinity at human opioid receptor mu 1 was determined by using [3H]diprenorphine radioligand in CHO cell membranes at a concentration of 0.12 nM,449.0,,Expert,CLD0,8,Homologous single protein target assigned,176734,CHEMBL321462,,N[C@H](c1cccc(Cl)c1)[C@@H]1CCN1C(c1ccc(F)cc1)c1ccc(F)cc1,901e030c965234752af5ce2b09ef2dea,N[C@H](c1cccc(Cl)c1)[C@@H]1CCN1C(c1ccc(F)cc1)c1ccc(F)cc1,398.88,28,5.662341108973858,active,1.0,5.0,inactive,0.0,6.3,True,,,,
37159,148100,CHEMBL751582,129,CHEMBL233,Ki,=,2248.0,nM,5.65,B,Binding,,,,,,CHO,,BAO_0000219,cell-based format,,,Binding affinity at human opioid receptor mu 1 was determined by using [3H]diprenorphine radioligand in CHO cell membranes at a concentration of 0.12 nM,449.0,,Expert,CLD0,8,Homologous single protein target assigned,176072,CHEMBL107288,,CCCCC(c1ccccc1)N1CC[C@H]1[C@@H](N)c1cccc(Cl)c1,901e030c965234752af5ce2b09ef2dea,CCCCC(c1ccccc1)N1CC[C@H]1[C@@H](N)c1cccc(Cl)c1,342.91,24,5.648203693102976,active,1.0,5.0,inactive,0.0,6.3,False,,,,
37164,148100,CHEMBL751582,129,CHEMBL233,Ki,=,1815.0,nM,5.74,B,Binding,,,,,,CHO,,BAO_0000219,cell-based format,,,Binding affinity at human opioid receptor mu 1 was determined by using [3H]diprenorphine radioligand in CHO cell membranes at a concentration of 0.12 nM,449.0,,Expert,CLD0,8,Homologous single protein target assigned,176545,CHEMBL108893,,CCCCC(c1ccccc1)N1CC[C@H]1[C@H](N)c1cccc(Cl)c1,901e030c965234752af5ce2b09ef2dea,CCCCC(c1ccccc1)N1CC[C@H]1[C@H](N)c1cccc(Cl)c1,342.91,24,5.741123370627869,active,1.0,5.0,inactive,0.0,6.3,True,,,,
38418,148100,CHEMBL751582,129,CHEMBL233,Ki,=,7159.0,nM,5.14,B,Binding,,,,,,CHO,,BAO_0000219,cell-based format,,,Binding affinity at human opioid receptor mu 1 was determined by using [3H]diprenorphine radioligand in CHO cell membranes at a concentration of 0.12 nM,449.0,,Expert,CLD0,8,Homologous single protein target assigned,175956,CHEMBL327118,,N[C@H](c1cccc(Cl)c1)[C@@H]1CCN1C(c1cccc(Cl)c1)c1cccc(Cl)c1,901e030c965234752af5ce2b09ef2dea,N[C@H](c1cccc(Cl)c1)[C@@H]1CCN1C(c1cccc(Cl)c1)c1cccc(Cl)c1,431.79,28,5.145147637582166,active,1.0,5.0,inactive,0.0,6.3,True,,,,
41949,148100,CHEMBL751582,129,CHEMBL233,Ki,=,586.0,nM,6.23,B,Binding,,,,,,CHO,,BAO_0000219,cell-based format,,,Binding affinity at human opioid receptor mu 1 was determined by using [3H]diprenorphine radioligand in CHO cell membranes at a concentration of 0.12 nM,449.0,,Expert,CLD0,8,Homologous single protein target assigned,176503,CHEMBL108904,,N[C@@H](c1ccc(Cl)cc1)[C@@H]1CCN1C(c1ccccc1)c1ccccc1,901e030c965234752af5ce2b09ef2dea,N[C@@H](c1ccc(Cl)cc1)[C@@H]1CCN1C(c1ccccc1)c1ccccc1,362.9,26,6.23210238398191,active,1.0,5.0,weak inactive,0.0,6.3,True,,,,
