activity_id,assay_id,assay_chembl_id,tid,target_chembl_id,standard_type,standard_relation,standard_value,standard_units,pchembl_value,assay_type,assay_type_description,assay_category,assay_organism,assay_tax_id,assay_strain,assay_tissue,assay_cell_type,assay_subcellular_fraction,bao_format,bao_label,variant_id,assay_test_type,assay_description,cell_id,tissue_id,curated_by,aidx,confidence_score,confidence_score_description,molregno,compound_chembl_id,pref_name,canonical_smiles,assay_metadata_hash,canonical_smiles_by_Std,molecular_weight,num_atoms,pStandard_value,vs_activity_comment,vs_activity,vs_threshold,lo_activity_comment,lo_activity,lo_threshold,stereoSiblings,effect,assay,effect_description,assay_keywords_description
32545,145110,CHEMBL857684,137,CHEMBL237,IC50,>,10000.0,nM,,B,Binding,,,,,,HEK293S,,BAO_0000219,cell-based format,,,Binding affinity on cloned opioid receptor kappa 1 in human HEK293S cells using [125I]-D-Pro10-dynorphin A[1-11] as radioligand.,,,Expert,CLD0,8,Homologous single protein target assigned,210380,CHEMBL423694,,CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2cccc(OC)c2)cc1,aeb80e345014f86795eaa3488d366326,CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2cccc(OC)c2)cc1,378.52,28,5.0,inactive,0.0,5.0,inactive,0.0,6.28,False,,,,
32912,220946,CHEMBL824621,137,CHEMBL237,IC50,>,10000.0,nM,,F,Functional,,Oryctolagus cuniculus,9986.0,,,,,BAO_0000019,assay format,,,Opioid receptor kappa agonist potency was determined in vitro using rabbit vas deferens(LVD) preparation,,,Expert,CLD0,8,Homologous single protein target assigned,244130,CHEMBL148416,,C=CCC1(CN2CCCC2)CCCCN1C(=O)Cc1ccc(Cl)c(Cl)c1,f420559980d7e9c9d12a657c689e984e,C=CCC1(CN2CCCC2)CCCCN1C(=O)Cc1ccc(Cl)c(Cl)c1,395.37,26,5.0,inactive,0.0,5.0,inactive,0.0,6.28,False,,,,
33757,145110,CHEMBL857684,137,CHEMBL237,IC50,>,10000.0,nM,,B,Binding,,,,,,HEK293S,,BAO_0000219,cell-based format,,,Binding affinity on cloned opioid receptor kappa 1 in human HEK293S cells using [125I]-D-Pro10-dynorphin A[1-11] as radioligand.,,,Expert,CLD0,8,Homologous single protein target assigned,27831,CHEMBL278078,,CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2ccccc2OC)cc1,aeb80e345014f86795eaa3488d366326,CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2ccccc2OC)cc1,378.52,28,5.0,inactive,0.0,5.0,inactive,0.0,6.28,False,,,,
34089,145683,CHEMBL754714,137,CHEMBL237,IC50,=,1200.0,nM,5.92,F,Functional,,Oryctolagus cuniculus,9986.0,,,,,BAO_0000019,assay format,,,Opioid receptor kappa 1 agonist potency was determined in vitro using rabbit vas deferens (LVD) preparation,,,Expert,CLD0,8,Homologous single protein target assigned,244219,CHEMBL146140,,NC(=O)[C@@H]1CCN(C(=O)Cc2ccc(Cl)c(Cl)c2)[C@H](CN2CCCC2)C1,f420559980d7e9c9d12a657c689e984e,NC(=O)[C@@H]1CCN(C(=O)Cc2ccc(Cl)c(Cl)c2)[C@H](CN2CCCC2)C1,398.33,26,5.920818753952375,active,1.0,5.0,inactive,0.0,6.28,True,,,,
34159,220946,CHEMBL824621,137,CHEMBL237,IC50,=,1020.0,nM,5.99,F,Functional,,Oryctolagus cuniculus,9986.0,,,,,BAO_0000019,assay format,,,Opioid receptor kappa agonist potency was determined in vitro using rabbit vas deferens(LVD) preparation,,,Expert,CLD0,8,Homologous single protein target assigned,243777,CHEMBL146682,,COC(=O)/C=C1\CCN(CC2CCCCN2C(=O)Cc2ccc(Cl)c(Cl)c2)C1,f420559980d7e9c9d12a657c689e984e,COC(=O)/C=C1\CCN(CC2CCCCN2C(=O)Cc2ccc(Cl)c(Cl)c2)C1,425.36,28,5.991399828238082,active,1.0,5.0,inactive,0.0,6.28,False,,,,
35283,145685,CHEMBL753311,137,CHEMBL237,IC50,=,3.5,nM,8.46,F,Functional,,Oryctolagus cuniculus,9986.0,,,,,BAO_0000019,assay format,,,Opioid receptor kappa 1 agonist potency in vitro using rabbit vas deferens(LVD) preparation,,,Autocuration,CLD0,8,Homologous single protein target assigned,244345,CHEMBL343246,,O=C(Cc1ccc(Cl)c(Cl)c1)N1CCCCC1CN1CC=CC1,f420559980d7e9c9d12a657c689e984e,O=C(Cc1ccc(Cl)c(Cl)c1)N1CCCCC1CN1CC=CC1,353.29,23,8.455931955649724,active,1.0,5.0,active,1.0,6.28,False,,,,
35422,220946,CHEMBL824621,137,CHEMBL237,IC50,=,46.0,nM,7.34,F,Functional,,Oryctolagus cuniculus,9986.0,,,,,BAO_0000019,assay format,,,Opioid receptor kappa agonist potency was determined in vitro using rabbit vas deferens(LVD) preparation,,,Expert,CLD0,8,Homologous single protein target assigned,244595,CHEMBL146884,,O=C1CCN(C(=O)Cc2ccc(Cl)c(Cl)c2)C(CN2CCCC2)C1,f420559980d7e9c9d12a657c689e984e,O=C1CCN(C(=O)Cc2ccc(Cl)c(Cl)c2)C(CN2CCCC2)C1,369.29,24,7.337242168318426,active,1.0,5.0,active,1.0,6.28,False,,,,
35424,220946,CHEMBL824621,137,CHEMBL237,IC50,=,5.0,nM,8.3,F,Functional,,Oryctolagus cuniculus,9986.0,,,,,BAO_0000019,assay format,,,Opioid receptor kappa agonist potency was determined in vitro using rabbit vas deferens(LVD) preparation,,,Expert,CLD0,8,Homologous single protein target assigned,244138,CHEMBL149668,,O=C(Cc1ccc(Cl)c(Cl)c1)N1CCC2(CC1CN1CCCC1)SCCS2,f420559980d7e9c9d12a657c689e984e,O=C(Cc1ccc(Cl)c(Cl)c1)N1CCC2(CC1CN1CCCC1)SCCS2,445.48,27,8.301029995663981,active,1.0,5.0,active,1.0,6.28,False,,,,
37705,145683,CHEMBL754714,137,CHEMBL237,IC50,=,390.0,nM,6.41,F,Functional,,Oryctolagus cuniculus,9986.0,,,,,BAO_0000019,assay format,,,Opioid receptor kappa 1 agonist potency was determined in vitro using rabbit vas deferens (LVD) preparation,,,Expert,CLD0,8,Homologous single protein target assigned,244003,CHEMBL344541,,O=C1CC[C@@H](CN2CCCC2)N(C(=O)Cc2ccc(Cl)c(Cl)c2)C1,f420559980d7e9c9d12a657c689e984e,O=C1CC[C@@H](CN2CCCC2)N(C(=O)Cc2ccc(Cl)c(Cl)c2)C1,369.29,24,6.4089353929735005,active,1.0,5.0,weak active,1.0,6.28,False,,,,
37771,220946,CHEMBL824621,137,CHEMBL237,IC50,=,0.88,nM,9.06,F,Functional,,Oryctolagus cuniculus,9986.0,,,,,BAO_0000019,assay format,,,Opioid receptor kappa agonist potency was determined in vitro using rabbit vas deferens(LVD) preparation,,,Expert,CLD0,8,Homologous single protein target assigned,243457,CHEMBL148219,,O=C(Cc1ccc(Cl)c(Cl)c1)N1CCCCC1CN1CCC(O)C1,f420559980d7e9c9d12a657c689e984e,O=C(Cc1ccc(Cl)c(Cl)c1)N1CCCCC1CN1CCC(O)C1,371.31,24,9.05551732784983,active,1.0,5.0,active,1.0,6.28,True,,,,
